patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s1_z5568_y2496_x2880,5.677,0.3853,0.0765,0.2482,0.0378,3033
s1_z1152_y2304_x2880,5.472,0.3954,0.0656,0.2704,0.0266,1904
s1_z384_y2304_x4800,5.456,0.317,0.0648,0.2013,0.0392,2176
s1_z5568_y3072_x4224,5.389,0.3499,0.0653,0.2311,0.0299,2250
s1_z1344_y2304_x4992,5.255,0.3255,0.0584,0.199,0.0267,1808
s1_z1728_y2304_x4608,5.175,0.3291,0.0498,0.2436,0.0311,1682
s1_z5376_y2688_x4416,5.143,0.2957,0.0401,0.157,0.0149,1578
s1_z960_y2112_x4608,5.105,0.3017,0.0578,0.2042,0.025,2443
s1_z192_y2496_x4800,5.07,0.349,0.0533,0.2237,0.031,2825
s1_z5568_y2880_x4416,4.953,0.2979,0.0499,0.2174,0.0363,1129
s1_z1344_y2496_x4800,4.946,0.3462,0.0583,0.2059,0.0268,1944
s1_z1536_y2496_x4992,4.934,0.337,0.0564,0.2217,0.03,1315
s1_z1344_y2304_x4608,4.923,0.3455,0.0673,0.2264,0.0367,1824
s1_z1920_y2496_x4992,4.757,0.2797,0.0407,0.1809,0.0221,1815
s1_z7168_y3328_x4096,4.698,0.2585,0.0484,0.1469,0.0197,5560
s1_z1920_y2304_x4608,4.656,0.3,0.0381,0.1801,0.0277,1364
s1_z1344_y2496_x4992,4.614,0.2893,0.0418,0.2091,0.0255,1652
s1_z1152_y2496_x4608,4.563,0.3075,0.0566,0.1784,0.0252,2048
s1_z1344_y2496_x2880,4.536,0.2998,0.0496,0.185,0.0231,2391
s1_z1536_y2304_x4800,4.507,0.3095,0.0449,0.1994,0.0261,1806
s1_z1536_y2304_x4608,4.504,0.289,0.0494,0.1919,0.0234,1443
s1_z1536_y2496_x4800,4.472,0.2695,0.0316,0.1782,0.0119,2155
s1_z2112_y2496_x4992,4.428,0.291,0.0389,0.1688,0.0145,2149
s1_z2112_y2304_x4800,4.413,0.2977,0.041,0.2011,0.0266,1831
s1_z6144_y3456_x4224,4.367,0.2744,0.0352,0.1459,0.0018,3446
s1_z1920_y2304_x4800,4.356,0.3078,0.0486,0.194,0.0242,1544
s1_z5760_y2880_x4224,4.351,0.2746,0.036,0.1567,0.0097,2049
s1_z10560_y2560_x2560,4.344,0.2694,0.0417,0.1803,0.0218,13288
s1_z6336_y3264_x4608,4.344,0.2472,0.0246,0.1553,0.0079,2240
s1_z1152_y2112_x4608,4.338,0.3062,0.0586,0.1745,0.0195,3581
s1_z1152_y2304_x2688,4.333,0.2611,0.0476,0.1758,0.0209,2781
s1_z1152_y2688_x3072,4.33,0.2867,0.0467,0.1909,0.0218,3276
s1_z1536_y2496_x2880,4.324,0.2357,0.0343,0.1521,0.0218,2419
s1_z2304_y2304_x4800,4.317,0.2598,0.0387,0.1662,0.0211,2487
s1_z1344_y2304_x2880,4.299,0.2865,0.0284,0.1703,0.015,1456
s1_z2112_y2112_x4608,4.296,0.3161,0.0606,0.1925,0.0275,2741
s1_z1536_y2304_x4992,4.29,0.3106,0.0538,0.1968,0.0266,1759
s1_z1728_y2496_x4800,4.283,0.2713,0.0283,0.1608,0.0034,2166
s1_z1152_y2304_x4992,4.274,0.2403,0.0513,0.1734,0.0313,1635
s1_z5184_y2688_x4416,4.267,0.2367,0.0196,0.142,0.007,1496
s1_z8960_y2560_x2816,4.254,0.2707,0.0446,0.1818,0.0215,5871
s1_z384_y2496_x3072,4.245,0.2614,0.0423,0.1902,0.0222,2101
s1_z1920_y2304_x4992,4.222,0.2781,0.042,0.1717,0.0203,1793
s1_z10560_y4160_x3520,4.205,0.2607,0.0427,0.171,0.0209,15110
s1_z11200_y5120_x3200,4.204,0.2371,0.038,0.1592,0.02,10906
s1_z5376_y3264_x4224,4.172,0.2252,0.0446,0.1328,0.019,3361
s1_z192_y2496_x4992,4.154,0.2647,0.0393,0.1707,0.0201,2066
s1_z11200_y2880_x2560,4.148,0.2573,0.038,0.1529,0.021,14837
s1_z960_y2688_x3264,4.143,0.2628,0.0468,0.1712,0.0232,3283
s1_z8704_y3072_x4096,4.117,0.2071,0.0262,0.1138,0.004,7394
s1_z6720_y2880_x2880,4.112,0.2602,0.0391,0.1622,0.0237,2628
s1_z1728_y2304_x4800,4.111,0.308,0.0479,0.1816,0.0211,1578
s1_z1536_y2112_x4608,4.106,0.2988,0.0436,0.1745,0.0142,2009
s1_z1536_y2304_x2880,4.104,0.2773,0.0415,0.1495,0.0146,1904
s1_z8448_y4096_x3328,4.075,0.2831,0.0427,0.1562,0.0114,5494
s1_z5184_y2688_x4800,4.066,0.2316,0.0254,0.1497,0.0111,1917
s1_z5568_y3264_x4416,4.065,0.2894,0.0538,0.1773,0.0229,2741
s1_z10880_y2560_x2560,4.009,0.2278,0.0425,0.1382,0.0219,13345
s1_z960_y2304_x3072,3.994,0.258,0.037,0.1586,0.0181,2333
s1_z5760_y3072_x4224,3.993,0.2188,0.0276,0.1262,0.0092,1777
s1_z7168_y3072_x4352,3.987,0.2321,0.0297,0.1159,0.0116,7320
s1_z1344_y2112_x4608,3.98,0.27,0.0523,0.1731,0.0197,2586
s1_z2304_y2112_x4608,3.972,0.2234,0.0344,0.147,0.0149,2972
s1_z1152_y2304_x4608,3.97,0.2635,0.0436,0.1709,0.0226,1656
s1_z1344_y2688_x4800,3.968,0.2493,0.037,0.1299,0.0124,2566
s1_z1728_y2496_x4992,3.957,0.2529,0.0321,0.1712,0.0098,1527
s1_z5568_y2688_x4992,3.941,0.2589,0.0479,0.1447,0.0194,1769
s1_z1536_y2496_x4608,3.936,0.2111,0.0443,0.1601,0.0303,3227
s1_z384_y2880_x3072,3.929,0.2308,0.0345,0.1383,0.0122,3155
s1_z1728_y2304_x4992,3.923,0.307,0.0517,0.1956,0.022,1636
s1_z5760_y2304_x2496,3.92,0.2075,0.0278,0.1606,0.0161,2961
s1_z5760_y2688_x4800,3.91,0.2226,0.0365,0.1367,0.0187,2203
